Nation,Time,Confirmed Case,Death,Recover,timestamp
LIBYA,2020-04-03 14:30:10,11.0,1.0,1.0,8260210
LIBYA,2020-04-03 14:30:11,11.0,1.0,1.0,8260211
LIBYA,2020-04-03 17:30:12,11.0,1.0,1.0,8271012
LIBYA,2020-04-03 20:30:12,11.0,1.0,1.0,8281812
LIBYA,2020-04-03 23:30:19,11.0,1.0,1.0,8292619
LIBYA,2020-04-04 08:30:14,17.0,1.0,1.0,8325014
LIBYA,2020-04-04 11:30:14,17.0,1.0,1.0,8335814
LIBYA,2020-04-04 14:30:16,17.0,1.0,1.0,8346616
LIBYA,2020-04-04 17:30:18,17.0,1.0,1.0,8357418
LIBYA,2020-04-04 20:30:33,17.0,1.0,1.0,8368233
LIBYA,2020-04-04 23:30:05,17.0,1.0,1.0,8379005
LIBYA,2020-04-05 08:30:07,18.0,1.0,1.0,8411407
LIBYA,2020-04-05 11:30:03,18.0,1.0,1.0,8422203
LIBYA,2020-04-05 14:30:04,18.0,1.0,1.0,8433004
LIBYA,2020-04-05 17:40:33,18.0,1.0,1.0,8444433
LIBYA,2020-04-05 20:33:28,18.0,1.0,1.0,8454808
LIBYA,2020-04-05 23:30:02,18.0,1.0,1.0,8465402
LIBYA,2020-04-06 08:37:49,18.0,1.0,1.0,8498269
LIBYA,2020-04-06 11:30:05,18.0,1.0,1.0,8508605
LIBYA,2020-04-06 14:44:21,18.0,1.0,1.0,8520261
LIBYA,2020-04-06 17:30:04,18.0,1.0,1.0,8530204
LIBYA,2020-04-06 21:00:44,18.0,1.0,1.0,8542844
LIBYA,2020-04-07 00:00:03,18.0,1.0,1.0,8553603
LIBYA,2020-04-07 09:00:04,19.0,1.0,1.0,8586004
LIBYA,2020-04-07 12:15:51,19.0,1.0,1.0,8597751
LIBYA,2020-04-07 15:59:55,19.0,1.0,1.0,8611195
LIBYA,2020-04-07 18:03:46,19.0,1.0,1.0,8618626
LIBYA,2020-04-07 21:32:15,19.0,1.0,1.0,8631135
LIBYA,2020-04-08 00:00:04,19.0,1.0,1.0,8640004
