Nation,Time,Confirmed Case,Death,Recover,timestamp
LEBANON,2020-04-03 14:30:10,494.0,16.0,46.0,8260210
LEBANON,2020-04-03 14:30:11,494.0,16.0,46.0,8260211
LEBANON,2020-04-03 17:30:12,508.0,17.0,46.0,8271012
LEBANON,2020-04-03 20:30:12,508.0,17.0,46.0,8281812
LEBANON,2020-04-03 23:30:19,508.0,17.0,50.0,8292619
LEBANON,2020-04-04 08:30:14,508.0,17.0,50.0,8325014
LEBANON,2020-04-04 11:30:14,508.0,17.0,50.0,8335814
LEBANON,2020-04-04 14:30:16,508.0,17.0,50.0,8346616
LEBANON,2020-04-04 17:30:18,520.0,17.0,50.0,8357418
LEBANON,2020-04-04 20:30:33,520.0,17.0,50.0,8368233
LEBANON,2020-04-04 23:30:05,520.0,17.0,54.0,8379005
LEBANON,2020-04-05 08:30:07,520.0,17.0,54.0,8411407
LEBANON,2020-04-05 11:30:03,520.0,17.0,54.0,8422203
LEBANON,2020-04-05 14:30:04,527.0,18.0,54.0,8433004
LEBANON,2020-04-05 17:40:33,527.0,18.0,54.0,8444433
LEBANON,2020-04-05 20:33:28,527.0,18.0,54.0,8454808
LEBANON,2020-04-05 23:30:02,527.0,18.0,54.0,8465402
LEBANON,2020-04-06 08:37:49,527.0,18.0,54.0,8498269
LEBANON,2020-04-06 11:30:05,527.0,18.0,54.0,8508605
LEBANON,2020-04-06 14:44:21,527.0,18.0,55.0,8520261
LEBANON,2020-04-06 17:30:04,541.0,19.0,55.0,8530204
LEBANON,2020-04-06 21:00:44,541.0,19.0,60.0,8542844
LEBANON,2020-04-07 00:00:03,541.0,19.0,60.0,8553603
LEBANON,2020-04-07 09:00:04,541.0,19.0,60.0,8586004
LEBANON,2020-04-07 12:15:51,541.0,19.0,60.0,8597751
LEBANON,2020-04-07 15:59:55,548.0,19.0,60.0,8611195
LEBANON,2020-04-07 18:03:46,548.0,19.0,60.0,8618626
LEBANON,2020-04-07 21:32:15,548.0,19.0,60.0,8631135
LEBANON,2020-04-08 00:00:04,548.0,19.0,62.0,8640004
LEBANON,2020-04-08 09:00:46,548.0,19.0,62.0,8672446
LEBANON,2020-04-08 12:21:18,548.0,19.0,62.0,8684478
LEBANON,2020-04-08 15:04:46,548.0,19.0,62.0,8694286
LEBANON,2020-04-08 18:11:16,575.0,19.0,62.0,8705476
LEBANON,2020-04-08 21:33:56,575.0,19.0,62.0,8717636
LEBANON,2020-04-09 00:14:12,575.0,19.0,62.0,8727252
LEBANON,2020-04-09 11:19:24,576.0,19.0,62.0,8767164
LEBANON,2020-04-09 12:07:24,576.0,19.0,62.0,8770044
LEBANON,2020-04-09 14:57:09,576.0,19.0,62.0,8780229
